id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE3969F,6805 8834 9419,DL-9564-137651,"[3, 5]",False,
2,Driver_2,1,ABCDE3878F,3549 5585 8031,DL-8552-463945,[2],False,
3,Driver_3,1,ABCDE7315F,7448 1642 1746,DL-2306-212855,"[4, 5]",True,
4,Driver_4,1,ABCDE6627F,3551 2137 4616,DL-1704-236281,"[2, 1, 5]",False,
5,Driver_5,1,ABCDE4397F,1772 9248 4537,DL-9722-891871,"[2, 3]",True,
6,Driver_6,1,ABCDE6544F,7363 3391 5198,DL-9055-970197,[5],True,
7,Driver_7,1,ABCDE8547F,8060 3977 9043,DL-5225-103009,"[1, 3]",True,
8,Driver_8,1,ABCDE8974F,3553 1131 6521,DL-4256-962511,[1],True,
9,Driver_9,1,ABCDE7371F,1699 2487 5369,DL-4464-111843,[5],True,
10,Driver_10,1,ABCDE5757F,6668 5365 4421,DL-1599-963954,[2],True,
11,Driver_11,1,ABCDE3933F,3215 7838 8070,DL-9742-975910,"[5, 1]",False,
12,Driver_12,1,ABCDE5079F,4274 2648 3000,DL-2715-261378,"[5, 3]",True,
13,Driver_13,1,ABCDE5213F,1309 7280 9964,DL-1461-152726,[1],True,
14,Driver_14,1,ABCDE5336F,8582 9892 7386,DL-3317-384170,[3],True,
15,Driver_15,1,ABCDE6673F,4973 7871 8544,DL-1503-791362,"[2, 1]",False,
16,Driver_16,1,ABCDE2897F,4336 1221 2315,DL-5963-207034,"[3, 4, 5]",False,
17,Driver_17,1,ABCDE1166F,2680 5075 3156,DL-3062-773453,"[3, 4]",False,
18,Driver_18,1,ABCDE4623F,5668 7239 3900,DL-3748-590889,"[2, 1, 3]",False,
19,Driver_19,1,ABCDE4483F,8346 3256 9884,DL-2809-848890,"[4, 1]",True,
20,Driver_20,1,ABCDE5137F,7650 9992 7670,DL-1183-683773,"[5, 1, 3]",True,
21,Driver_21,1,ABCDE5805F,3573 5015 7326,DL-3936-595415,"[1, 2, 4]",False,
22,Driver_22,1,ABCDE5786F,5948 1546 4382,DL-4928-557928,"[2, 5]",True,
23,Driver_23,1,ABCDE4506F,5038 8531 6716,DL-8424-225476,"[4, 5]",True,
24,Driver_24,1,ABCDE2675F,6292 6616 6496,DL-1173-640240,"[1, 2]",False,
25,Driver_25,1,ABCDE7565F,2788 9176 8781,DL-5361-812467,[4],False,
26,Driver_26,1,ABCDE2732F,2283 4607 6910,DL-3493-512213,"[5, 1, 3]",True,
27,Driver_27,1,ABCDE3437F,4979 3775 4879,DL-9514-815749,[1],True,
28,Driver_28,1,ABCDE4945F,7172 9003 8576,DL-4715-726871,[1],False,
29,Driver_29,1,ABCDE6830F,8443 1110 7680,DL-9431-658164,[4],True,
30,Driver_30,1,ABCDE3851F,4487 6923 1243,DL-3727-114939,"[3, 5, 2]",False,
31,Driver_31,1,ABCDE5251F,7356 5173 7683,DL-1133-778535,"[2, 5, 3]",True,
32,Driver_32,1,ABCDE4851F,6457 8289 1779,DL-2682-268785,[2],False,
33,Driver_33,1,ABCDE5237F,7650 5352 6757,DL-2240-876359,"[1, 5]",True,
34,Driver_34,1,ABCDE4455F,3579 9450 2817,DL-7182-883338,"[4, 2]",False,
