id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE9285F,9163 2393 3098,DL-4881-518427,[4],False,
2,Driver_2,1,ABCDE5732F,1074 7020 3119,DL-8143-141607,[1],False,
3,Driver_3,1,ABCDE9278F,9447 7601 6126,DL-1788-132364,"[2, 3, 4]",True,
4,Driver_4,1,ABCDE2972F,7676 9411 7056,DL-5567-458384,"[2, 5, 1]",False,
5,Driver_5,1,ABCDE5418F,5819 2949 3326,DL-4618-983026,[4],True,
6,Driver_6,1,ABCDE2707F,9092 3141 9540,DL-5873-270308,[5],False,
7,Driver_7,1,ABCDE9654F,3418 1049 1863,DL-3396-533317,"[5, 1, 4]",False,
8,Driver_8,1,ABCDE6094F,4269 1943 4730,DL-6758-112328,"[2, 1, 4]",False,
9,Driver_9,1,ABCDE8878F,2718 9716 1883,DL-3462-929125,[4],False,
10,Driver_10,1,ABCDE9034F,1488 4160 1891,DL-6435-428552,"[3, 2]",True,
11,Driver_11,1,ABCDE4607F,2443 9182 8351,DL-1972-765236,"[4, 1, 3]",False,
12,Driver_12,1,ABCDE8918F,2519 6011 2950,DL-1600-795615,"[1, 5, 3]",True,
13,Driver_13,1,ABCDE5142F,7984 7414 5764,DL-5436-550803,[2],False,
14,Driver_14,1,ABCDE7376F,8400 7637 3122,DL-2416-355705,[4],False,
15,Driver_15,1,ABCDE9401F,8499 9198 4236,DL-8116-608404,[1],False,
16,Driver_16,1,ABCDE9688F,6335 7465 5761,DL-8128-927047,"[1, 5]",False,
17,Driver_17,1,ABCDE7965F,5267 4158 3540,DL-2752-371345,"[5, 4]",False,
18,Driver_18,1,ABCDE2707F,4483 9923 3653,DL-3322-303176,[5],True,
19,Driver_19,1,ABCDE2485F,6042 2717 9075,DL-8423-843127,"[4, 5, 1]",True,
20,Driver_20,1,ABCDE9882F,9897 2889 6399,DL-4341-916229,[5],False,
21,Driver_21,1,ABCDE1054F,7586 9198 9486,DL-9095-917162,"[5, 1]",False,
22,Driver_22,1,ABCDE8856F,2841 6262 1221,DL-9547-888326,"[5, 1]",False,
23,Driver_23,1,ABCDE1754F,2630 9449 7227,DL-8072-361512,"[4, 2, 1]",True,
24,Driver_24,1,ABCDE7241F,9269 1605 9183,DL-6673-740171,"[4, 5]",False,
25,Driver_25,1,ABCDE5362F,8295 3477 9752,DL-4003-926738,"[2, 5]",True,
26,Driver_26,1,ABCDE7186F,5437 3540 4930,DL-9552-356569,[3],True,
27,Driver_27,1,ABCDE3142F,5262 4077 6451,DL-5341-375390,"[2, 3]",False,
28,Driver_28,1,ABCDE9384F,4391 4012 9426,DL-4036-865135,"[3, 5]",False,
29,Driver_29,1,ABCDE2475F,9141 2806 4040,DL-8100-577031,[1],False,
30,Driver_30,1,ABCDE1409F,2453 7260 2873,DL-1233-908231,"[3, 4]",True,
31,Driver_31,1,ABCDE7693F,1673 8828 5530,DL-7010-321054,[1],False,
32,Driver_32,1,ABCDE9267F,6753 6545 1556,DL-3216-424377,"[4, 5]",False,
33,Driver_33,1,ABCDE9649F,7067 2576 7694,DL-2972-559800,"[2, 4]",False,
34,Driver_34,1,ABCDE7876F,1582 4117 5787,DL-5740-989713,"[3, 5, 4]",True,
35,Driver_35,1,ABCDE5080F,4152 2385 5095,DL-8362-977232,"[1, 5]",False,
36,Driver_36,1,ABCDE9621F,9272 1887 1857,DL-4851-136442,[3],True,
37,Driver_37,1,ABCDE3176F,8746 9600 9164,DL-5455-481520,"[5, 3]",True,
38,Driver_38,1,ABCDE7251F,6965 4188 9558,DL-3750-996121,"[4, 2]",False,
39,Driver_39,1,ABCDE7135F,6548 6537 8817,DL-4844-723019,"[2, 5, 3]",False,
40,Driver_40,1,ABCDE1162F,6002 8305 8977,DL-2961-482253,"[4, 3, 5]",False,
41,Driver_41,1,ABCDE4927F,8830 9136 3104,DL-2838-452577,[4],True,
42,Driver_42,1,ABCDE1333F,4960 9139 9976,DL-2425-163254,"[1, 3, 4]",True,
43,Driver_43,1,ABCDE7958F,7120 4788 2098,DL-3991-386339,"[5, 2, 3]",True,
44,Driver_44,1,ABCDE3696F,4224 4246 3003,DL-1825-964497,[3],False,
45,Driver_45,1,ABCDE3044F,5072 5313 9636,DL-9797-419252,[4],True,
46,Driver_46,1,ABCDE4886F,9399 6697 5394,DL-3482-378869,"[2, 5]",False,
47,Driver_47,1,ABCDE3371F,6123 2286 2596,DL-5651-414851,"[1, 3, 4]",True,
48,Driver_48,1,ABCDE3427F,7808 2840 6423,DL-8907-670349,"[3, 2]",True,
49,Driver_49,1,ABCDE1350F,1088 3101 7265,DL-7304-597253,"[1, 3]",False,
50,Driver_50,1,ABCDE5477F,8510 6445 2982,DL-8277-515083,[3],True,
51,Driver_51,1,ABCDE6874F,5678 8560 2936,DL-4315-271301,"[2, 3, 4]",True,
52,Driver_52,1,ABCDE9749F,2698 9550 9449,DL-7283-501028,"[4, 5, 1]",True,
53,Driver_53,1,ABCDE8460F,7498 6831 8385,DL-9777-802918,[1],False,
54,Driver_54,1,ABCDE2759F,4128 3451 9229,DL-5999-324969,"[5, 4]",False,
55,Driver_55,1,ABCDE2220F,5704 3810 2357,DL-5709-598093,"[3, 4]",False,
56,Driver_56,1,ABCDE3483F,3551 3605 7146,DL-8784-187229,[3],False,
57,Driver_57,1,ABCDE6576F,6839 1239 9719,DL-3398-265151,"[4, 3]",False,
58,Driver_58,1,ABCDE4647F,6927 1164 2674,DL-3528-416034,"[5, 2]",False,
59,Driver_59,1,ABCDE4743F,3634 9254 8917,DL-5675-755161,"[4, 5, 2]",False,
60,Driver_60,1,ABCDE4863F,1798 7503 8237,DL-9552-933537,"[3, 1, 5]",True,
61,Driver_61,1,ABCDE9511F,9271 9127 5870,DL-4319-444300,[3],True,
62,Driver_62,1,ABCDE4312F,9450 8266 1819,DL-9459-243931,[1],True,
63,Driver_63,1,ABCDE5830F,5553 5393 2795,DL-1530-378878,"[1, 5, 3]",False,
64,Driver_64,1,ABCDE9178F,2614 4410 2906,DL-1126-385995,"[1, 5, 4]",False,
65,Driver_65,1,ABCDE8019F,9852 9010 8340,DL-7657-121088,"[3, 4]",False,
66,Driver_66,1,ABCDE9193F,8467 7679 3623,DL-2684-952554,"[3, 2]",True,
67,Driver_67,1,ABCDE6651F,6601 9978 4104,DL-5996-794672,[1],False,
68,Driver_68,1,ABCDE5610F,7257 8010 2638,DL-4471-995431,"[5, 3]",False,
69,Driver_69,1,ABCDE9834F,8350 1586 7876,DL-7222-380501,"[3, 1, 2]",False,
70,Driver_70,1,ABCDE4900F,6303 8517 2173,DL-8346-691707,[4],False,
71,Driver_71,1,ABCDE5217F,2469 3600 1993,DL-8289-215433,[1],True,
72,Driver_72,1,ABCDE2476F,3663 4961 8145,DL-5366-464460,"[2, 1]",True,
73,Driver_73,1,ABCDE8902F,7640 1467 2907,DL-3195-505813,[3],False,
74,Driver_74,1,ABCDE7210F,5788 6694 4576,DL-7746-984050,[4],False,
75,Driver_75,1,ABCDE4003F,5703 3849 1263,DL-1164-885557,"[5, 1]",False,
76,Driver_76,1,ABCDE7404F,5644 9545 8040,DL-5826-689720,"[1, 2, 5]",True,
77,Driver_77,1,ABCDE2140F,3194 6435 2709,DL-8068-627528,[1],True,
78,Driver_78,1,ABCDE8074F,1359 9128 1777,DL-2118-129925,"[1, 2, 4]",True,
79,Driver_79,1,ABCDE8783F,8809 5426 1121,DL-6583-731983,"[3, 4]",True,
80,Driver_80,1,ABCDE9950F,7763 6482 9774,DL-1153-323968,"[4, 1]",True,
81,Driver_81,1,ABCDE1387F,2643 6168 1223,DL-6309-598440,[2],True,
82,Driver_82,1,ABCDE5748F,7379 3000 6345,DL-6910-804159,"[4, 3]",False,
83,Driver_83,1,ABCDE1302F,3665 8259 3530,DL-6839-903436,"[2, 4]",False,
84,Driver_84,1,ABCDE3277F,8057 4068 2851,DL-2601-997745,"[4, 5, 2]",False,
85,Driver_85,1,ABCDE7379F,5780 2094 8420,DL-7953-720218,"[3, 4, 5]",False,
86,Driver_86,1,ABCDE6945F,3514 8601 6229,DL-1869-454335,"[3, 1]",False,
87,Driver_87,1,ABCDE9194F,2922 3381 5264,DL-2475-881511,[2],True,
88,Driver_88,1,ABCDE9530F,1018 2379 6615,DL-9671-247366,"[1, 4, 3]",False,
89,Driver_89,1,ABCDE7564F,8963 8398 8821,DL-3618-527339,"[5, 4, 1]",False,
90,Driver_90,1,ABCDE4990F,3998 3395 9587,DL-6226-280146,[2],False,
91,Driver_91,1,ABCDE4758F,4735 4697 9228,DL-9821-743490,[1],True,
92,Driver_92,1,ABCDE7358F,3346 9986 3147,DL-4871-919460,"[4, 1]",True,
93,Driver_93,1,ABCDE2326F,4211 6128 5638,DL-2007-801835,[3],True,
94,Driver_94,1,ABCDE1883F,2613 2576 6996,DL-1566-477021,"[1, 2]",False,
95,Driver_95,1,ABCDE2047F,8525 1613 1757,DL-8293-733398,"[3, 4, 2]",True,
96,Driver_96,1,ABCDE3300F,6320 6640 3914,DL-8752-303132,"[2, 4]",False,
97,Driver_97,1,ABCDE9586F,6519 2394 9096,DL-9703-972977,[1],False,
98,Driver_98,1,ABCDE8508F,2307 8983 4328,DL-7172-314154,[5],True,
99,Driver_99,1,ABCDE5186F,5203 6091 2113,DL-3889-297912,[4],False,
100,Driver_100,1,ABCDE8780F,7051 7191 6429,DL-4056-525662,"[1, 5]",False,
101,Driver_101,1,ABCDE4945F,7438 8983 1391,DL-7416-650166,"[3, 4, 2]",True,
102,Driver_102,1,ABCDE7105F,6528 4614 5160,DL-7329-212032,"[5, 4, 1]",True,
103,Driver_103,1,ABCDE5906F,6518 3293 4747,DL-5362-682654,"[1, 5]",True,
104,Driver_104,1,ABCDE1204F,7902 1594 5515,DL-5666-259365,"[2, 4]",False,
105,Driver_105,1,ABCDE4998F,8832 6361 5684,DL-1018-972643,"[3, 5]",True,
106,Driver_106,1,ABCDE5278F,7338 2151 5864,DL-8808-546758,"[3, 2]",True,
107,Driver_107,1,ABCDE8765F,1642 1497 6423,DL-3338-325487,"[3, 5, 1]",True,
108,Driver_108,1,ABCDE1269F,7753 2878 2260,DL-7148-435768,"[5, 2]",False,
109,Driver_109,1,ABCDE4487F,9623 3552 2250,DL-1791-335907,[5],False,
110,Driver_110,1,ABCDE3165F,1536 7658 1929,DL-3367-766186,"[5, 1]",False,
111,Driver_111,1,ABCDE6782F,1301 4317 6793,DL-1598-272729,"[1, 3, 2]",False,
112,Driver_112,1,ABCDE4635F,4366 7684 1501,DL-3702-922875,[5],True,
113,Driver_113,1,ABCDE6108F,5465 7418 6580,DL-5176-376630,"[4, 1, 5]",False,
114,Driver_114,1,ABCDE5922F,8268 3852 2318,DL-2956-455795,"[1, 2]",True,
115,Driver_115,1,ABCDE3755F,3107 9832 5774,DL-1842-929558,"[1, 2]",False,
116,Driver_116,1,ABCDE7384F,5008 5804 2792,DL-2480-439329,"[4, 5, 2]",True,
117,Driver_117,1,ABCDE8473F,7956 3482 8736,DL-4068-895166,"[2, 5, 3]",True,
118,Driver_118,1,ABCDE4887F,9056 3785 2554,DL-9627-822956,[3],False,
119,Driver_119,1,ABCDE1102F,1290 3597 5961,DL-6390-188597,"[2, 4]",False,
120,Driver_120,1,ABCDE8834F,9992 5096 5613,DL-1972-271746,[4],False,
121,Driver_121,1,ABCDE1498F,3314 7022 7917,DL-1833-804297,"[1, 4]",True,
122,Driver_122,1,ABCDE2539F,3287 8092 2144,DL-2328-250849,"[5, 2]",False,
123,Driver_123,1,ABCDE2419F,4816 9762 3286,DL-4377-973298,"[1, 3, 5]",False,
124,Driver_124,1,ABCDE7893F,5125 9955 3048,DL-9084-415773,"[5, 4]",True,
125,Driver_125,1,ABCDE7976F,3639 6267 2338,DL-1014-188257,"[3, 4, 1]",False,
126,Driver_126,1,ABCDE7395F,3381 7785 4916,DL-9034-613055,"[2, 3, 4]",False,
127,Driver_127,1,ABCDE9712F,3806 5740 2337,DL-6608-283219,[2],False,
128,Driver_128,1,ABCDE2716F,6702 9194 5115,DL-2585-903521,[3],False,
129,Driver_129,1,ABCDE6571F,7396 1042 3766,DL-2103-346478,"[5, 2, 1]",True,
130,Driver_130,1,ABCDE8939F,8530 6439 6562,DL-8695-625440,[3],False,
131,Driver_131,1,ABCDE8770F,8866 1248 2177,DL-5764-821512,"[4, 2]",True,
132,Driver_132,1,ABCDE9305F,8853 8009 6341,DL-2804-957156,[3],False,
