Request_id,Customer_id,operators_id,Delivery_latitude,Delivery_longitude,Delivery_city_id,Delivery_address,items_in_this_request,Request_placing_time
1,1,12,30.046088955818316,74.12531069345675,1,Address_1,"[(2, 9), (7, 1), (8, 10), (1, 2)]",2024-10-18 09:00:00
2,2,1,30.149132533937358,74.18832888507107,1,Address_2,"[(4, 9)]",2024-10-18 09:00:00
3,3,10,30.135066596017122,74.28155274985627,1,Address_3,"[(7, 14), (3, 10), (4, 19), (7, 6), (6, 3), (2, 15), (2, 4)]",2024-10-18 09:00:00
4,4,10,30.187238519198328,74.19802831620576,1,Address_4,"[(4, 3), (4, 1), (9, 15), (1, 13), (4, 12), (2, 6), (5, 5), (8, 19), (10, 12)]",2024-10-18 09:00:00
5,5,10,30.155881143387496,74.19686669786084,1,Address_5,"[(5, 11), (1, 4), (1, 5), (10, 4), (10, 9)]",2024-10-18 09:00:00
6,6,1,30.113417954319512,74.22864346223919,1,Address_6,"[(8, 13), (8, 6), (7, 4)]",2024-10-18 09:00:00
7,7,10,30.16807183231728,74.16575788921493,1,Address_7,"[(9, 2), (1, 17), (2, 14), (9, 2), (5, 6), (2, 7), (10, 4), (10, 1), (1, 13), (1, 3), (5, 20)]",2024-10-18 09:00:00
8,8,1,30.21409006557298,74.26217466149072,1,Address_8,"[(5, 8), (1, 18), (5, 11), (5, 17)]",2024-10-18 09:00:00
9,9,10,30.110401852292036,74.28000066960851,1,Address_9,"[(5, 6), (9, 8), (1, 17), (5, 18)]",2024-10-18 09:00:00
10,10,1,30.197224861810724,74.24681566751285,1,Address_10,"[(1, 17)]",2024-10-18 09:00:00
11,11,10,30.144766846891656,74.19341587323997,1,Address_11,"[(8, 12), (5, 14), (2, 17), (4, 6), (7, 17), (7, 19), (10, 4), (2, 2), (3, 7), (9, 16), (4, 8)]",2024-10-18 09:00:00
12,12,1,30.119706722074387,74.21100666538581,1,Address_12,"[(3, 11)]",2024-10-18 09:00:00
13,13,10,30.150101768088955,74.18829539106817,1,Address_13,"[(6, 9), (2, 8), (3, 7)]",2024-10-18 09:00:00
14,14,10,30.23540207904891,74.08876827250116,1,Address_14,"[(5, 20), (1, 4), (3, 3), (8, 12), (2, 8), (1, 19), (8, 9), (1, 1), (8, 17)]",2024-10-18 09:00:00
15,15,10,30.1049006206571,74.12492615424198,1,Address_15,"[(3, 18), (5, 11), (9, 10), (1, 3), (2, 19), (1, 12), (1, 8), (9, 10), (10, 14), (1, 4), (1, 13)]",2024-10-18 09:00:00
16,16,10,30.083776356850716,74.27174106808707,1,Address_16,"[(8, 12), (2, 17)]",2024-10-18 09:00:00
17,17,12,30.09922978630726,74.1246594434593,1,Address_17,"[(2, 4), (9, 10), (9, 10), (5, 12), (5, 11), (7, 2), (5, 18), (8, 19), (8, 20), (3, 16), (2, 17)]",2024-10-18 09:00:00
18,18,10,30.125898843480712,74.21208526766465,1,Address_18,"[(3, 9), (6, 2), (6, 16), (9, 17), (7, 6)]",2024-10-18 09:00:00
19,19,12,30.182549761037286,74.16654276647878,1,Address_19,"[(4, 12), (10, 7), (1, 18), (9, 5)]",2024-10-18 09:00:00
