Request_id,Customer_id,operators_id,Delivery_latitude,Delivery_longitude,Delivery_city_id,Delivery_address,items_in_this_request,Request_placing_time
1,1,8,30.29724368525442,74.317000194617,1,Address_1,"[(2, 11), (6, 12)]",2024-10-18 09:00:00
2,2,6,30.017693146562888,74.04384160074395,1,Address_2,"[(1, 15), (2, 13), (7, 20), (10, 17), (4, 8), (9, 8), (4, 13), (5, 17), (8, 5)]",2024-10-18 09:00:00
3,3,6,30.16273307840176,74.38472677663808,1,Address_3,"[(10, 14), (4, 6), (7, 9), (4, 14), (1, 1), (2, 3), (3, 1), (8, 1)]",2024-10-18 09:00:00
4,4,8,30.33831870531158,74.23374207506163,1,Address_4,"[(3, 5), (1, 18), (5, 15), (3, 10), (1, 16), (9, 17), (6, 20), (8, 11), (10, 5), (1, 10), (4, 5)]",2024-10-18 09:00:00
5,5,6,30.251520736412584,74.33296397780381,1,Address_5,"[(3, 7), (6, 17), (8, 4), (9, 3), (8, 17), (1, 3), (9, 14)]",2024-10-18 09:00:00
6,6,6,30.143328586883857,74.19645482832607,1,Address_6,"[(9, 19), (1, 18), (3, 10), (5, 2), (4, 11), (9, 4), (3, 1), (8, 8)]",2024-10-18 09:00:00
7,7,4,30.06060016119888,74.31666367450352,1,Address_7,"[(4, 18), (4, 6), (7, 18), (4, 5), (6, 10), (5, 6), (9, 18)]",2024-10-18 09:00:00
8,8,8,30.131804747814815,74.36357902067519,1,Address_8,"[(8, 14), (7, 13), (2, 17), (5, 8), (6, 13), (1, 11), (1, 14)]",2024-10-18 09:00:00
9,9,4,30.171029061368074,74.13734886020553,1,Address_9,"[(10, 6), (9, 15), (9, 14), (9, 8), (5, 1), (4, 10), (6, 4), (9, 8), (5, 6), (1, 19), (8, 13)]",2024-10-18 09:00:00
10,10,6,29.979497520336395,74.21465211390591,1,Address_10,"[(4, 12), (3, 4), (5, 11)]",2024-10-18 09:00:00
