customer_id,location_latitude,location_longitude,address,city_id,preferred_delivery_window
1,23.741553095007102,87.05742466018178,Address_1,18,"('7 AM', '5 PM')"
2,31.59241681097514,74.91988105332906,Address_2,17,"('1 AM', '3 PM')"
3,27.188734221391826,78.0662840737333,Address_3,4,"('12 AM', '12 PM')"
4,21.047217253771407,77.77214668360685,Address_4,16,"('7 AM', '12 PM')"
5,30.408247729035143,76.8269522079781,Address_5,15,"('10 AM', '4 PM')"
6,31.544829323111603,74.73416011098847,Address_6,17,"('8 AM', '8 PM')"
7,20.745830289225072,77.08421560791278,Address_7,9,"('6 AM', '8 PM')"
8,30.35420921727786,76.81619397240706,Address_8,15,"('3 AM', '10 PM')"
9,28.318757951661706,79.37326578016355,Address_9,25,"('3 AM', '4 PM')"
10,23.7334249931148,92.7300626101129,Address_10,7,"('2 AM', '12 PM')"
11,24.951470481974876,84.34626809556659,Address_11,20,"('8 AM', '3 PM')"
12,34.16133127871541,74.30196322524161,Address_12,23,"('7 AM', '11 PM')"
13,23.68392906110412,87.00115933100561,Address_13,18,"('7 AM', '3 PM')"
14,20.71523461224336,77.06621585989902,Address_14,9,"('11 AM', '6 PM')"
15,23.705991038573544,92.67671570793433,Address_15,7,"('4 AM', '6 PM')"
16,27.204606694712254,78.00944201006166,Address_16,4,"('2 AM', '8 PM')"
17,28.350881383148046,79.34790491868388,Address_17,25,"('1 AM', '4 PM')"
18,27.544549561936105,76.59748140550245,Address_18,14,"('1 AM', '4 PM')"
19,30.147262707165186,74.19394089739862,Address_19,1,"('3 AM', '4 PM')"
20,23.954994084683857,91.40785516410129,Address_20,3,"('9 AM', '10 PM')"
21,25.540657170617663,81.82299309869292,Address_21,13,"('5 AM', '12 PM')"
22,34.372082595767225,74.43066083826854,Address_22,23,"('7 AM', '2 PM')"
23,31.660020021423758,74.89412569965258,Address_23,17,"('10 AM', '6 PM')"
24,25.99072542207554,80.60997979069708,Address_24,21,"('4 AM', '10 PM')"
25,26.593640018930202,74.49636380762253,Address_25,8,"('1 AM', '10 PM')"
26,19.436124801426484,78.47893674825407,Address_26,2,"('3 AM', '4 PM')"
27,20.70320849603893,76.98374634546757,Address_27,9,"('9 AM', '11 PM')"
28,28.683358221552037,79.13869937847336,Address_28,22,"('8 AM', '11 PM')"
29,20.896414947227736,77.81626201914828,Address_29,16,"('2 AM', '12 PM')"
30,9.45993774000156,76.32925408481145,Address_30,10,"('4 AM', '12 PM')"
31,20.711716059146017,77.10622199023095,Address_31,9,"('2 AM', '4 PM')"
32,23.767086164949113,91.29754023587029,Address_32,3,"('12 AM', '12 PM')"
33,20.87369691931316,77.52216679671156,Address_33,16,"('3 AM', '1 PM')"
34,27.169696302158393,77.99752707088778,Address_34,4,"('7 AM', '11 PM')"
35,23.751232512247064,86.96042386022056,Address_35,18,"('8 AM', '10 PM')"
36,23.785717872673516,86.94124109003025,Address_36,18,"('7 AM', '9 PM')"
37,18.983857226969157,74.78079267728518,Address_37,5,"('1 AM', '2 PM')"
38,28.30156014053088,79.33562604610532,Address_38,25,"('12 AM', '4 PM')"
39,25.34439713592627,81.96783430429524,Address_39,13,"('8 AM', '9 PM')"
40,34.17139592661333,74.4184053260269,Address_40,23,"('3 AM', '6 PM')"
41,19.398822364773793,78.3076441113478,Address_41,2,"('2 AM', '3 PM')"
42,23.743571020710565,86.96135316449846,Address_42,18,"('9 AM', '3 PM')"
43,19.890862195950582,75.3677595915006,Address_43,19,"('6 AM', '1 PM')"
44,9.455410630442174,76.25022834616325,Address_44,10,"('2 AM', '2 PM')"
45,23.66001580079565,87.05053285016096,Address_45,18,"('4 AM', '8 PM')"
46,30.332759771521744,76.8049707583462,Address_46,15,"('11 AM', '2 PM')"
47,26.46335538943254,89.49664011360717,Address_47,12,"('4 AM', '5 PM')"
48,31.677243932273555,74.93433780443117,Address_48,17,"('7 AM', '6 PM')"
49,30.30873240756998,76.78270105273597,Address_49,15,"('3 AM', '2 PM')"
50,30.393692799608143,76.90787245441972,Address_50,15,"('6 AM', '9 PM')"
51,26.482022229589948,89.51808069125434,Address_51,12,"('8 AM', '7 PM')"
52,23.562642051775235,86.87135847407546,Address_52,18,"('4 AM', '6 PM')"
53,30.061487945785505,74.22513041277786,Address_53,1,"('1 AM', '9 PM')"
54,24.786344652775213,84.36980696806852,Address_54,20,"('6 AM', '1 PM')"
55,19.88638411872169,75.3474838075282,Address_55,19,"('10 AM', '6 PM')"
56,28.26589927266322,79.34952641205778,Address_56,25,"('1 AM', '5 PM')"
57,27.894237988783953,78.13860863480626,Address_57,11,"('6 AM', '10 PM')"
58,34.21607066301314,74.34558953257832,Address_58,23,"('4 AM', '12 PM')"
59,30.36099026354271,76.84596302036113,Address_59,15,"('9 AM', '9 PM')"
60,30.264151931781942,74.2183354959645,Address_60,1,"('2 AM', '7 PM')"
61,28.751877130493664,79.12472470628586,Address_61,22,"('9 AM', '9 PM')"
62,27.562041495328476,76.59700673088506,Address_62,14,"('8 AM', '6 PM')"
63,24.65246075809746,84.3503811063865,Address_63,20,"('11 AM', '2 PM')"
64,23.17556741234494,87.92820963276597,Address_64,24,"('11 AM', '11 PM')"
65,19.775391221253543,75.4009121687389,Address_65,19,"('10 AM', '7 PM')"
66,24.90734121286277,84.41109681795861,Address_66,20,"('10 AM', '7 PM')"
67,19.16709319974869,78.35607749748813,Address_67,2,"('8 AM', '11 PM')"
68,28.748229798076448,79.20280247541754,Address_68,22,"('2 AM', '8 PM')"
69,27.25948942646357,78.0675029682394,Address_69,4,"('8 AM', '8 PM')"
70,26.37864237201869,74.75686763880071,Address_70,8,"('6 AM', '6 PM')"
71,26.458202936818765,74.62781487043235,Address_71,8,"('12 AM', '12 PM')"
72,23.736044737788035,92.76900209962692,Address_72,7,"('6 AM', '11 PM')"
73,23.07252405588843,72.76938906289159,Address_73,6,"('8 AM', '3 PM')"
74,28.867941452597286,78.89261803671127,Address_74,22,"('7 AM', '11 PM')"
75,30.18753505445424,73.9845674970492,Address_75,1,"('7 AM', '5 PM')"
76,24.722004659318337,84.1312675891009,Address_76,20,"('5 AM', '4 PM')"
77,23.733858633434775,87.11451474805469,Address_77,18,"('5 AM', '4 PM')"
78,30.352167479947028,76.75848421073889,Address_78,15,"('11 AM', '12 PM')"
79,20.689994028926577,76.99949911862194,Address_79,9,"('6 AM', '9 PM')"
80,27.551554055502397,76.68832468015974,Address_80,14,"('6 AM', '3 PM')"
81,24.82270422209648,84.58125598816618,Address_81,20,"('8 AM', '9 PM')"
82,20.867290127700603,77.72096918062134,Address_82,16,"('6 AM', '2 PM')"
83,23.842125363970062,91.14881935294838,Address_83,3,"('1 AM', '12 PM')"
84,28.78411785964589,79.1638360777391,Address_84,22,"('10 AM', '6 PM')"
85,19.806313716760307,75.37769789493422,Address_85,19,"('9 AM', '6 PM')"
86,25.63119842461241,81.7793870308516,Address_86,13,"('2 AM', '4 PM')"
87,28.311639668085064,79.23629682174068,Address_87,25,"('8 AM', '2 PM')"
88,30.358568933079606,76.79370580085426,Address_88,15,"('5 AM', '12 PM')"
89,20.65148630214077,77.05829969923882,Address_89,9,"('7 AM', '12 PM')"
90,20.897326439739054,77.72817405184306,Address_90,16,"('12 AM', '9 PM')"
91,31.65039392534155,74.86650727006732,Address_91,17,"('5 AM', '1 PM')"
92,27.156940097610768,78.0093295765817,Address_92,4,"('10 AM', '11 PM')"
93,30.23636705463902,76.7931727488602,Address_93,15,"('4 AM', '9 PM')"
94,23.207944218281376,87.92048669206223,Address_94,24,"('4 AM', '8 PM')"
95,23.09577993696169,72.45935744630313,Address_95,6,"('7 AM', '12 PM')"
96,9.500039631960913,76.41765187148447,Address_96,10,"('3 AM', '5 PM')"
97,25.42082651043218,81.77948950551196,Address_97,13,"('5 AM', '10 PM')"
98,25.924837994771025,80.70677269861658,Address_98,21,"('2 AM', '1 PM')"
99,26.21770195702479,74.59012550062745,Address_99,8,"('10 AM', '9 PM')"
100,26.49405519398449,74.63262073468003,Address_100,8,"('9 AM', '4 PM')"
101,20.75480274081964,77.83265383561191,Address_101,16,"('12 AM', '9 PM')"
102,27.791762814869838,78.08248051098602,Address_102,11,"('8 AM', '5 PM')"
103,23.872153808063125,91.37438693273083,Address_103,3,"('1 AM', '2 PM')"
104,31.577398615774076,74.75051906705471,Address_104,17,"('6 AM', '8 PM')"
105,25.531549397890817,81.94495548717416,Address_105,13,"('8 AM', '4 PM')"
106,20.928156772698507,77.75004155382315,Address_106,16,"('8 AM', '6 PM')"
107,20.883052869002164,77.68491433529604,Address_107,16,"('2 AM', '8 PM')"
108,27.16680699233254,77.97499601579672,Address_108,4,"('3 AM', '12 PM')"
109,22.946354179395687,72.55180748356435,Address_109,6,"('8 AM', '4 PM')"
110,20.741653847821922,76.89428606021788,Address_110,9,"('10 AM', '2 PM')"
111,27.103978757520657,77.99466501257967,Address_111,4,"('5 AM', '8 PM')"
112,23.625720691059513,86.95907603400312,Address_112,18,"('3 AM', '6 PM')"
113,19.07638186098713,74.75839046752539,Address_113,5,"('12 AM', '5 PM')"
114,28.343728196743086,79.44280494597307,Address_114,25,"('6 AM', '3 PM')"
115,25.39504161053039,81.68386380512909,Address_115,13,"('7 AM', '11 PM')"
116,28.296393814435998,79.43323944979998,Address_116,25,"('4 AM', '5 PM')"
117,24.7443888896019,84.40773947362398,Address_117,20,"('5 AM', '3 PM')"
118,23.807191523231104,91.33564129088303,Address_118,3,"('6 AM', '7 PM')"
119,23.86623122695105,91.36905005639669,Address_119,3,"('4 AM', '7 PM')"
120,23.614035405313103,92.67858569122477,Address_120,7,"('4 AM', '12 PM')"
121,26.487183104604917,74.5744081898482,Address_121,8,"('8 AM', '11 PM')"
122,23.02196831046724,72.53527317442311,Address_122,6,"('11 AM', '10 PM')"
123,23.110195777811185,72.58176857280603,Address_123,6,"('6 AM', '2 PM')"
124,23.244584668292028,72.62952208061226,Address_124,6,"('3 AM', '4 PM')"
125,20.762689001610596,77.08220552982196,Address_125,9,"('5 AM', '1 PM')"
126,27.19338599325283,78.00130703442899,Address_126,4,"('11 AM', '10 PM')"
127,27.212326210042956,78.02732335074953,Address_127,4,"('11 AM', '10 PM')"
